item_category,stock_level,days_to_expiry,avg_daily_sales,sold_in_time
bread,63,5,18.32488466423831,1
bread,25,4,19.382714008661775,1
milk,56,6,4.5237186188564324,0
meat,33,7,9.779848524547551,1
milk,38,9,1.0234048681620918,0
meat,6,1,12.368218037326113,1
bread,58,6,12.538822516990754,1
milk,44,7,5.703259156464128,0
snacks,45,3,11.609840779080761,0
fruits,32,8,5.285262706430974,1
meat,45,5,4.055683912485611,0
fruits,61,9,13.37886986924303,1
fruits,47,5,7.192583815089423,0
milk,21,9,12.215014838826827,1
fruits,80,4,9.231688230461456,0
snacks,85,9,19.702676740655175,1
fruits,75,5,3.8420322106837497,0
milk,36,9,9.827373336080393,1
snacks,99,3,13.92867590082718,0
bread,19,4,8.515356593719405,1
fruits,20,9,19.519297185543106,1
milk,57,6,14.715864930611765,1
bread,18,2,13.482693293725369,1
bread,47,7,15.384126084613243,1
meat,49,2,19.100324122735625,0
snacks,14,2,18.248554406708163,1
fruits,15,1,14.761420854401827,0
milk,31,3,15.234071142924378,1
meat,1,6,3.7725194066677634,1
snacks,54,8,2.953055685360648,0
meat,3,9,11.847185535039122,1
snacks,16,7,1.34898510187026,0
snacks,87,4,10.16477124948024,0
fruits,57,6,4.996642018458504,0
snacks,75,5,7.574314785251952,0
meat,12,8,15.740289980066166,1
snacks,74,1,18.883512580415342,0
fruits,96,1,2.3759091707804885,0
fruits,16,6,11.150601913552457,1
meat,72,2,17.7681362305724,0
bread,76,5,2.567662154368004,0
bread,24,1,16.665766891039844,0
snacks,28,7,7.798225667637156,1
milk,8,1,7.119799342167371,0
snacks,92,4,19.57186133998093,0
meat,36,9,4.8163227073835895,1
meat,90,1,14.170684875630938,0
meat,8,4,16.607373832187463,1
meat,58,6,1.782486410306162,0
meat,60,6,13.737323708733832,1
fruits,50,8,19.07944951275121,1
bread,28,1,3.3601793678331275,0
meat,92,7,18.02820475101573,1
milk,41,1,12.300756110161785,0
milk,64,7,12.715487055387007,1
milk,27,3,12.645939322446512,1
milk,63,8,6.677881840408963,0
fruits,17,3,18.768834490689734,1
milk,73,1,18.999658789989734,0
meat,33,8,12.880788544065009,1
snacks,84,3,15.885031792890679,0
milk,77,2,12.632901731742002,0
fruits,92,1,10.203570503906771,0
fruits,29,3,13.555582247685763,1
milk,13,2,11.50702759924721,1
snacks,46,2,12.352041390006672,0
milk,35,6,15.892818514958376,1
fruits,6,1,10.137172797530713,1
bread,82,2,1.7743280157569825,0
meat,69,6,4.115990138800448,0
fruits,47,3,9.33353711330123,0
milk,25,4,14.771704637607108,1
meat,66,1,12.272294317893396,0
milk,10,8,13.355589531595625,1
milk,56,7,10.106299642949459,1
bread,30,7,12.699098416902613,1
meat,5,3,7.251331318478582,1
meat,33,3,9.933469261236636,0
bread,65,2,15.141302246304157,0
fruits,18,1,17.564822800489303,0
milk,96,7,9.239451345171389,0
snacks,49,7,1.8295714964398626,0
milk,11,2,4.071778338789251,0
milk,85,7,1.396361646539224,0
fruits,26,8,13.411997365509272,1
milk,63,1,7.3139778817470695,0
bread,89,9,11.307094078667982,1
bread,86,7,10.372260088892192,0
meat,59,3,2.549003301496107,0
snacks,27,8,8.661965861352805,1
milk,49,7,5.190661373524142,0
milk,77,8,8.949595984685402,0
fruits,33,6,4.867987326502611,0
bread,98,9,16.968595719261735,1
snacks,99,5,4.309673394986819,0
meat,1,3,19.25483047825256,1
bread,21,3,8.902239956791874,1
meat,55,1,17.07866054836194,0
fruits,6,8,12.946531545912958,1
fruits,92,2,14.9716556746493,0
milk,81,3,15.586753873268826,0
snacks,69,8,10.592052755967337,1
meat,95,8,11.32270994390248,0
bread,5,4,10.765921488365775,1
fruits,3,4,12.173109183711505,1
milk,53,5,1.5584944693736387,0
milk,23,6,8.514788227131291,1
meat,53,5,12.51758555766226,1
fruits,37,7,12.356747739861422,1
snacks,74,2,16.066165797506997,0
fruits,74,7,13.445177437810063,1
meat,83,7,19.850533010472773,1
meat,17,1,6.393236043564255,0
fruits,85,7,7.823869563658398,0
meat,78,5,8.293095885488128,0
fruits,73,3,9.850443333384721,0
bread,1,3,16.883963211842982,1
fruits,51,4,5.480049785224987,0
fruits,45,2,15.74400393367316,0
meat,77,2,8.700893478629125,0
meat,4,1,12.435252289578163,1
milk,62,5,13.018270131299817,1
milk,65,4,8.084124106589755,0
bread,32,2,10.739688898910298,0
milk,34,3,8.847592318306244,0
fruits,92,7,2.3135229375457693,0
meat,95,7,9.306142387519705,0
milk,72,4,2.8504744585174913,0
milk,39,5,8.69539518252611,1
bread,26,5,12.265449596803855,1
bread,34,6,12.008883087526515,1
fruits,54,9,13.589804301158086,1
meat,3,2,2.8099686511378996,1
bread,50,5,13.390341665078319,1
milk,12,3,6.930813077232495,1
meat,65,4,8.58187297660511,0
meat,54,6,17.30173882453141,1
milk,5,8,1.1715776784614547,1
bread,94,1,12.179840033471503,0
milk,94,8,12.375565621902044,1
meat,57,7,8.536535750527678,1
snacks,17,1,5.503529285058388,0
snacks,47,2,5.4588067269694704,0
fruits,23,3,17.7904837235543,1
milk,79,1,9.398463101874293,0
milk,85,9,7.286897896794267,0
fruits,14,8,9.526773902796657,1
fruits,66,2,13.718417627727865,0
fruits,75,9,3.769374796650282,0
meat,51,7,9.539242869061017,1
milk,38,9,12.169803051097352,1
meat,64,6,19.023083742177242,1
fruits,98,6,5.798027859432966,0
milk,38,4,7.825764210408666,0
meat,50,2,8.207813208526051,0
meat,98,7,12.505224995252775,0
fruits,82,5,7.777909007760032,0
milk,30,6,11.136726580694216,1
fruits,79,2,15.854016267055558,0
milk,91,5,14.402326288131867,0
snacks,51,4,9.481004283739125,0
bread,63,9,17.42010737580921,1
bread,98,6,11.604664742283395,0
bread,52,2,11.258210950542038,0
fruits,38,1,1.6495675528440055,0
snacks,97,5,19.74716662678607,1
milk,88,9,3.3364453620629075,0
meat,79,6,5.3914873361252855,0
milk,30,7,1.9822399075890123,0
meat,51,5,13.16005636990136,1
milk,81,6,5.26932236248092,0
snacks,5,5,4.420198311981746,1
meat,29,9,2.6825561002415865,0
fruits,4,6,2.9628701853562975,1
milk,10,8,12.108743308409187,1
milk,56,2,14.075949451465313,0
meat,17,9,8.55020078082362,1
fruits,74,5,10.118044550249392,0
fruits,17,7,14.033386983676698,1
snacks,84,1,1.330216013524113,0
fruits,88,5,7.139482484335293,0
fruits,69,2,19.488857213336583,0
fruits,34,6,12.022132364213894,1
bread,6,1,5.830267018052372,0
snacks,53,3,10.912870886088049,0
milk,66,5,7.510416274297391,0
meat,77,4,11.112654787699682,0
milk,43,3,3.389088724326328,0
snacks,75,5,3.5215784225662703,0
meat,23,8,3.7273048787484644,1
snacks,55,4,18.856576046609995,1
fruits,80,1,14.925079448485494,0
meat,95,7,4.085255998584097,0
fruits,75,8,4.578632591546428,0
milk,16,3,14.88576002254665,1
milk,8,6,3.967113051051305,1
meat,4,2,5.456664573361745,1
meat,4,7,19.303589823587583,1
snacks,56,8,5.850823969840205,0
snacks,25,6,13.571014657051789,1
fruits,67,6,19.593994460610077,1
meat,96,5,8.11163857565606,0
milk,67,8,1.3328038263791826,0
snacks,27,1,5.638798518025111,0
snacks,93,4,16.786666635492402,0
milk,32,4,17.4275678831457,1
snacks,50,3,15.601867925952034,0
fruits,61,3,3.1490865624548876,0
meat,51,4,16.11469706223166,1
milk,19,1,18.45487814287658,0
meat,21,2,12.411581308378485,1
snacks,5,9,18.87663177042323,1
snacks,82,2,16.70993879052567,0
milk,92,5,13.672458822827238,0
fruits,42,9,11.966519497523215,1
bread,61,9,7.622899677597439,1
milk,22,8,4.026461459613298,1
bread,21,1,12.494124531120276,0
bread,70,1,7.04411951874427,0
fruits,1,9,17.46233468302526,1
bread,5,8,19.87340180981394,1
bread,12,9,15.296127489695879,1
fruits,90,7,2.7191522104539643,0
bread,46,3,6.485026315082124,0
bread,34,3,3.073083003549245,0
bread,49,2,13.3597213080426,0
milk,78,5,15.538626426559908,0
milk,90,3,18.587821786733524,0
milk,45,6,9.325274581827765,1
fruits,27,2,18.126137342180442,1
snacks,73,3,17.679932021785223,0
bread,26,5,7.026718618542573,1
bread,47,1,17.509111885270848,0
fruits,86,1,8.137772785752803,0
bread,56,9,6.640516216645334,1
milk,94,7,13.332418517093469,0
snacks,63,1,7.23924332981654,0
meat,48,8,12.97396621825374,1
bread,61,3,12.586804304475196,0
milk,81,8,11.705339619620718,1
meat,26,5,8.227974380423156,1
snacks,36,1,11.421494711378058,0
meat,1,7,12.33322402472301,1
milk,8,5,11.368050881413994,1
meat,99,6,9.44396960227283,0
fruits,52,6,1.2786740838790123,0
meat,79,8,12.154172446321867,1
bread,47,9,4.200443317711674,0
bread,56,2,13.208943409996602,0
fruits,86,9,15.427542230534455,1
milk,14,9,10.508460873484088,1
bread,90,7,11.304909634615028,0
snacks,28,1,19.07809263365383,0
bread,87,7,17.09617986607891,1
bread,78,5,18.370493803077927,1
milk,88,6,16.46155947807214,1
meat,2,7,3.0694484950878973,1
bread,26,5,3.8308452634336994,0
fruits,14,7,11.005852148110232,1
meat,59,9,5.675323517161967,0
snacks,56,3,10.057214025782024,0
milk,7,8,8.492941152548653,1
snacks,3,2,11.438870530178614,1
meat,23,7,15.190638606580631,1
meat,18,2,14.594327234886213,1
meat,38,4,10.903448517221353,1
snacks,99,7,16.625474957524105,1
meat,15,3,9.186379739222634,1
snacks,64,2,18.037571506962326,0
meat,89,7,2.3543251310481144,0
fruits,28,1,19.13854057063284,0
meat,74,8,13.439168547195615,1
snacks,39,3,8.2214156698069,0
bread,57,2,4.745928404884669,0
meat,17,3,10.104481359428398,1
bread,86,5,4.696608140520718,0
fruits,90,8,4.160300547119701,0
milk,44,7,12.72968339084651,1
fruits,25,7,10.938609767053908,1
meat,17,7,13.731824657607891,1
bread,13,8,18.662511671017796,1
bread,84,1,11.112944053441764,0
snacks,25,4,12.037709011993156,1
bread,68,6,2.7029004439439,0
snacks,10,9,14.635079932263961,1
milk,67,2,8.598198929278968,0
meat,18,1,19.557779534589,1
snacks,86,2,16.640306296317547,0
milk,34,7,10.927139769806248,1
bread,8,3,3.341230429271155,1
bread,40,2,17.328900072331194,0
milk,83,7,16.195840813056414,1
bread,42,2,4.507117461203627,0
milk,41,3,6.610287495185892,0
snacks,6,7,16.07473790480891,1
snacks,52,4,4.519340484400784,0
milk,26,1,18.43729729425617,0
snacks,64,5,9.066021078730875,0
snacks,98,9,2.653740289165514,0
snacks,59,8,16.499224226581337,1
fruits,56,9,8.096683977729365,1
meat,59,9,11.003484688921839,1
bread,70,7,3.1337825438131643,0
fruits,33,4,1.0490962820546654,0
snacks,53,5,13.121718910072655,1
milk,22,1,10.7883282363409,0
snacks,21,1,12.277232813339797,0
meat,70,3,16.08113315722981,0
snacks,70,8,13.285512355034342,1
milk,4,2,4.320695413720166,1
meat,94,4,7.854677863101396,0
snacks,75,2,18.211930990967446,0
meat,62,5,15.6289493047819,1
bread,62,9,11.576104100797627,1
bread,94,1,5.857254958376174,0
snacks,95,5,6.739149534861106,0
meat,24,9,14.907203284127057,1
milk,55,1,17.172310956202644,0
snacks,9,9,13.757068721081675,1
bread,3,8,16.381069539600393,1
bread,31,4,15.566466568807714,1
snacks,40,5,3.8443753911821967,0
meat,36,5,9.054951445352739,1
bread,24,6,3.906692215742691,0
meat,95,7,5.469476111237712,0
bread,6,8,17.515932868369998,1
bread,66,8,9.984947347030461,1
fruits,84,2,11.171803935010557,0
bread,92,9,4.39047333932767,0
milk,75,7,6.933163934927125,0
snacks,4,4,5.374677200129529,1
snacks,79,4,4.917537125850102,0
meat,6,8,13.121255073003432,1
bread,94,4,5.880793105268581,0
milk,51,6,13.00829423438795,1
meat,62,5,2.110637668062524,0
fruits,57,3,3.6937134770149354,0
meat,66,2,6.216264826002382,0
meat,79,9,12.343891421018142,1
bread,75,9,13.840983656660143,1
fruits,8,1,9.411622368811015,1
meat,26,3,9.47002737696735,1
milk,51,8,14.765820176573744,1
milk,45,6,1.3006007435460663,0
snacks,44,5,7.4807104650101905,0
fruits,5,5,16.55543408526542,1
fruits,70,6,12.461168794054073,1
snacks,26,7,7.407315522352987,1
meat,68,1,18.204971054263805,0
fruits,19,9,15.679831821538269,1
milk,84,3,6.033013497497935,0
milk,97,4,13.260506912988621,0
bread,20,1,12.319263835590178,0
fruits,12,3,8.622570366740671,1
meat,47,2,7.972165504891213,0
snacks,1,2,7.527649020738375,1
snacks,90,1,12.72595988451729,0
meat,14,8,9.405788793132722,1
bread,64,3,16.805399151777017,0
snacks,38,3,13.722449706545277,1
fruits,37,6,2.3287005084792485,0
bread,11,8,13.163196252735155,1
fruits,77,9,6.151801293503511,0
milk,3,9,12.26342784141503,1
bread,33,4,13.922506690965577,1
snacks,6,5,5.3857545939262295,1
bread,50,2,9.680314252727005,0
bread,10,9,4.616172393562288,1
bread,5,8,1.9944386399436578,1
bread,23,3,8.191052046231512,1
fruits,10,9,7.895941165073848,1
milk,44,3,19.914129323380884,1
meat,2,9,9.4806946727552,1
bread,13,2,7.337821439971808,1
snacks,40,9,12.029025127616817,1
bread,2,8,2.6865804880476007,1
snacks,84,9,19.27164898314145,1
fruits,65,5,13.06424086622963,1
snacks,63,2,15.341918578876108,0
meat,73,8,4.239080825304433,0
milk,17,6,8.780079207098874,1
snacks,9,8,9.031093154527602,1
snacks,75,5,16.614322434120652,1
milk,15,2,1.0234969154287794,0
meat,24,6,6.716209058711846,1
bread,38,5,19.643491112541774,1
snacks,35,5,10.022844326618154,1
milk,94,1,8.267999324636158,0
fruits,95,2,3.2767510383352807,0
milk,49,8,19.509127943932295,1
fruits,69,3,1.380500762590665,0
meat,62,3,15.006424275137618,0
bread,60,8,15.60339629098166,1
milk,50,8,5.629477605213466,0
snacks,78,2,13.759610428647708,0
meat,75,8,2.7656537432084085,0
milk,9,1,5.883898062209518,0
snacks,34,6,15.970137777553035,1
milk,76,8,17.429037648637266,1
fruits,99,3,12.561241840536034,0
milk,35,8,10.629930204589169,1
milk,1,1,4.026776391760626,1
milk,40,9,2.1990716285038534,0
